Subsystems,Pathways,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T); Folate Metabolism; Biomass And Maintenance Functions; Nucleotide Salvage Pathway; Redox & Pentose Metabolism; Biosynthesis Of Amino Acids; Purine Catabolism",Purine Metabolism,27,0,0,0,0,4,ADSL1 (1.40); ADSL2 (1.40); ADSS (1.40); AICART (1.40); AIRCr (1.40); GARFT (1.40); GK1 (1.40); GLUPRT (1.40); GUAPRT (1.40); IMPC (1.40); NDPK1 (1.40); NDPK10 (1.40); NDPK10n (1.40); NDPK5 (1.40); NDPK8 (1.40); NDPK8m (1.40); NTD7 (1.40); NTD8 (1.40); PPM (1.40); PRAGSr (1.40); PRASCS (1.40); PRFGS (1.40); PRPPS (1.40); PUNP1 (1.40); PUNP2 (1.40); PUNP3 (1.40); PUNP4 (1.40),,,,,ADK1 (1.20); ATPM (1.00); GMPR (0.90); r0276 (0.91),31,21.050221794336423,21.178779981551042,-0.12855818721461887,-0.00414703829724577
Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal,Nucleotide Salvage Pathway,1,0,0,0,0,0,GUAPRT (1.40),,,,,,1,0.0175079609112059,0.0125004116224171,0.0050075492887887985,0.0050075492887887985
Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,Purine Catabolism,3,0,0,0,0,1,PUNP2 (1.40); PUNP3 (1.40); PUNP4 (1.40),,,,,r0276 (0.91),4,1.0752217855771264,1.1805273365418372,-0.10530555096471073,-0.02632638774117768
Oxidative Phosphorylation,Oxidative Phosphorylation,1,0,0,0,0,4,PPAm (1.20),,,,,ATPS4m (1.02); CYOOm3 (1.05); CYOR_u10m (1.05); NADH2_u10m (1.01),5,25.453578151857762,24.697404096640696,0.7561740552170662,0.15123481104341324
Pseudoreactions,Pseudoreactions,18,4,0,2,0,10,EX_C02470_e (1.40); EX_arg__L_e (1.40); EX_asn__L_e (1.40); EX_chol_e (1.40); EX_chsterol_e (1.40); EX_cys__L_e (1.40); EX_gthrd_e (3.01); EX_hco3_e (1.42); EX_his__L_e (1.40); EX_inost_e (1.40); EX_leu__L_e (1.40); EX_met__L_e (1.40); EX_phe__L_e (1.40); EX_pi_e (1.40); EX_ser__L_e (1.40); EX_thr__L_e (1.40); EX_trp__L_e (1.40); EX_tyr__L_e (1.40),EX_co2_e (0.63); EX_lys__L_e (0.50); EX_oaa_e (0.00); EX_pro__L_e (0.33),,EX_cgly_e (1000.00); EX_pyr_e (1000.00),,EX_glc__D_e (1.00); EX_gln__L_e (1.00); EX_glu__L_e (1.00); EX_h2o2_e (1.05); EX_h_e (0.99); EX_ile__L_e (1.00); EX_lac__L_e (0.91); EX_nh4_e (0.91); EX_o2_e (1.05); EX_val__L_e (1.00),34,33.84384360535415,33.51641102595094,0.32743257940321513,0.009630369982447503
Redox & Pentose Metabolism,Glutathione Metabolism,3,0,0,1,0,0,AMPTASECG (1.40); GND (1.40); r0129 (1.40),,,r0130 (1000.00),,,4,0.0816687731431742,0.0392353321709749,0.042433440972199296,0.010608360243049824
Redox & Pentose Metabolism,Pentose And Glucuronate Interconversions,1,0,0,0,0,0,GALU (1.40),,,,,,1,0.0018510448034748,0.001321617182756,0.0005294276207188,0.0005294276207188
Redox & Pentose Metabolism; Nitrogen disposal; Biosynthesis Of Amino Acids,Pentose Phosphate Pathway,6,0,0,0,0,1,G6PDH2r (1.40); GND (1.40); PGL (1.40); PPM (1.40); PRPPS (1.40); RPI (1.40),,,,,FBA (1.00),7,5.060094026140173,5.0429061994456115,0.017187826694561537,0.002455403813508791
Starch And Sucrose Metabolism; Central Energy Metabolism,Starch And Sucrose Metabolism,2,0,0,0,0,1,GLBRAN (1.40); GLGNS1 (1.40),,,,,HEX1 (1.00),3,5.00123402987069,5.0008810781218385,0.0003529517488516376,0.00011765058295054587
"Transport, Endoplasmic Reticulum","Transport, Endoplasmic Reticulum",5,0,0,0,0,0,BILGLCURtr (1.40); HUMANGEM_MAR06107 (1.40); PE_HSter (1.40); PIter (1.40); PPItr (1.40),,,,,,5,0.0551055399027331,0.0393444979084219,0.0157610419943112,0.0031522083988622398
"Transport, Endosomal","Transport, Endosomal",2,1,0,0,0,1,LEUtec (1.40); LPCHOLt (1.40),LYSt5r (0.65),,,,L__LACt2r (0.91),4,8.803352576747667,9.634767532896273,-0.8314149561486062,-0.20785373903715154
"Transport, Nuclear","Transport, Nuclear",4,0,0,0,0,0,DIDPtn (1.40); DITPtn (1.40); DTDPtn (1.40); DTTPtn (1.40),,,,,,4,0.0033630028351233996,0.0024011316874082,0.0009618711477151994,0.00024046778692879986
Unknown,Unknown,1,0,0,0,0,0,LCAT1e (1.40),,,,,,1,0.0063305405588271,0.0045199074397465,0.0018106331190806003,0.0018106331190806003
Vitamin C Metabolism,Vitamin C Metabolism,0,0,0,0,0,1,,,,,,ASCBOX (1.05),1,0.0327114095020629,0.0311106518241717,0.0016007576778912028,0.0016007576778912028
