reaction_id,flux_ratio,log2_ratio,deg_log2fc,rxn_p,padj_rxn,rxn_sig_by_padj,Pathways,pathway_list,n_pathways,pass_lfc,pass_flux,highlight,GPR_rule,GPR_rule_log2FC,size_s
ADSL1,1.3628949155827381,0.44360665147561484,-0.255176079803073,0.507201108497439,0.507201108497439,True,"Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism', 'Nitrogen disposal']",3,False,False,False,ADSL,-0.26,
ADSL2,1.3628949155834378,0.44360665147561484,-0.255176079803073,0.507201108497439,0.507201108497439,True,Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",2,False,False,False,ADSL,-0.26,
ADSS,1.3628949155827381,0.44360665147561484,0.561670660393733,0.13317755027674924,0.13317755027674924,True,"Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism', 'Nitrogen disposal']",3,False,False,False,ADSS2 or ADSS1,0.21 or 0.56,
AGPAT1,1.3628949155848378,0.44360665147561484,0.441866272764217,0.30669513812278154,0.30669513812278154,True,Triacylglycerol Synthesis,['Lipid metabolism'],1,False,False,False,AGPAT2 or GPAT4 or AGPAT4 or AGPAT3 or AGPAT5 or AGPAT1 or MBOAT2,0.44 or -0.20 or -0.10 or 0.29 or -0.38 or NA or -0.52,
AICART,1.3628949155834378,0.44360665147561484,-0.0827250459643057,0.934252068900686,0.934252068900686,True,Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",2,False,False,False,ATIC,-0.08,
AIRCr,1.3628949155834378,0.44360665147561484,0.113318525166949,0.781666838489658,0.781666838489658,True,Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",2,False,False,False,PAICS,0.11,
AKGDm,1.0486094509513133,0.070389327891398,0.0,,,True,2-oxocarboxylic Acid Metabolism; Citric Acid Cycle,['Energy metabolism'],1,False,False,False,OGDH and _DLD and PDHX and _DLST,0.02 and NA and 0.09 and NA,
AKGMALtm,1.0520458650813334,0.070389327891398,0.323214535580689,0.553870736635124,0.553870736635124,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A11 or SLC25A10,NA or 0.32,
ALATA__L,0.7293639043510399,-0.4540316308947075,2.37408780957466,8.75172168040237e-06,8.75172168040237e-06,True,"2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other']",2,True,False,False,GPT2,2.37,
AMPTASECG,1.282338267494814,0.35614381022527536,0.0,,,True,Glutathione Metabolism,['Energy metabolism'],1,False,False,False,_LAP3,NA,
ARGLYSex,1000.0,3.0,0.293333446239247,0.508995181729089,0.508995181729089,True,Extracellular Transport,['Extracellular Transport'],1,False,True,False,SLC7A6,0.29,
ARGNm,1000.0,3.0,-0.176340550743504,0.833638173969122,0.833638173969122,True,Arginine And Proline Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids; Urea Cycle,"['AA other', 'AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nitrogen disposal']",3,False,True,False,ARG2,-0.18,
ARGtm,1000.0,3.0,0.8801660773103,0.0742776656849623,0.0742776656849623,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,True,True,True,SLC25A15,0.88,50.0
ASNtN1,1.3628949155848429,0.44360665147561484,0.103282415776726,0.836368886753561,0.836368886753561,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC38A3,0.10,
ASPCTr,1.3628949156813748,0.44360665147561484,0.0,,,True,"Alanine, Aspartate And Glutamate Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism']",2,False,False,False,CAD,NA,
ASPTA,1.3628949155949874,0.44360665147561484,0.138855666712495,0.708470856642592,0.708470856642592,True,"2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other']",2,False,False,False,GOT1 or IL4I1,0.14 or NA,
ATPS4m,1.0703506849497444,0.09761079662642233,-0.707032927662858,,,True,Oxidative Phosphorylation,['Energy metabolism'],1,False,False,False,NDUFS2 and NDUFA13 and NDUFB7 and NDUFS4 and NDUFC2 and NDUFB6 and NDUFB10 and NDUFAB1 and NDUFA8 and NDUFA5 and NDUFA12 and NDUFB2 and NDUFV3 and NDUFA9 and NDUFA7 and NDUFB9 and NDUFS6 and NDUFS3 and NDUFB1 and NDUFB8 and NDUFA10 and NDUFB3 and NDUFS1 and NDUFB5 and NDUFV2 and NDUFA6 and NDUFV1 and NDUFA2 and NDUFS8 and NDUFB4 and NDUFS7 and NDUFS5 and NDUFA4 and NDUFA1 and NDUFA11 and ND1 and ND3 and ND6 and ND5 and ND4 and ND4L and ND2,NA and -0.36 and -0.71 and NA and 0.41 and -0.02 and -0.16 and 2.22 and -0.15 and 0.55 and 0.19 and 0.24 and -0.01 and 0.05 and -0.23 and -0.24 and 0.40 and 1.47 and 0.09 and 1.14 and -0.22 and -0.05 and -0.66 and 0.11 and 0.27 and 0.18 and -0.09 and -0.20 and -0.04 and 0.24 and 0.18 and -0.16 and NA and -0.10 and -0.16 and NA and NA and NA and NA and NA and NA and NA,
ATPtm,1.0685426283697723,0.09761079662642233,-0.0191468299078926,0.004926357637586852,0.004926357637586852,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A4 or SLC25A6 or SLC25A5,-0.02 or -0.61 or -0.56,
CDS,1.3628949155848957,0.44360665147561484,3.93735904814676,0.0025787886400963685,0.0025787886400963685,True,Glycerophospholipid Metabolism,['Lipid metabolism'],1,True,False,False,CDS1 or CDS2,3.94 or 0.47,
CEPTC,1.3628949155848358,0.44360665147561484,0.04417496915348,0.27804105816147917,0.27804105816147917,True,Glycerophospholipid Metabolism,['Lipid metabolism'],1,False,False,False,CEPT1 or CHPT1,0.04 or -0.53,
CHLPCTD,1.3628949155848358,0.44360665147561484,-0.05122595622582,0.896496667605476,0.896496667605476,True,Glycerophospholipid Metabolism,['Lipid metabolism'],1,False,False,False,PCYT1A or PCYT1B,-0.05 or -0.51,
CHOLESTle,1.3628949155848407,0.44360665147561484,0.0,,,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,_LIPA,NA,
CHOLK,1.3628949155848358,0.44360665147561484,0.123962241133068,0.912762608437442,0.912762608437442,True,Glycerophospholipid Metabolism,['Lipid metabolism'],1,False,False,False,CHKA,0.12,
CHOLtu,1.3628949155848127,0.44360665147561484,0.327862939782757,0.7971663854572927,0.7971663854572927,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,_LOC421583 or SLC22A1 or SLC22A5,NA or 0.07 or 0.33,
CLSm_hs,1.3628949155850512,0.44360665147561484,0.214649131613726,0.801739410183243,0.801739410183243,True,Glycerophospholipid Metabolism,['Lipid metabolism'],1,False,False,False,CRLS1,0.21,
COAtim,1.3628949155848296,0.44360665147561484,0.685133372655153,0.313653013877871,0.313653013877871,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A16,0.69,
CSm,1.0105457570081635,0.014355292977070054,1.011213469135,0.0291722638332555,0.0291722638332555,True,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism,"['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Energy metabolism']",2,True,False,False,CS,1.01,
CTPS2,1.362894915584829,0.44360665147561484,0.0779459139233822,0.9106200833287089,0.9106200833287089,True,Nucleotide Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis,['Nucleotide metabolism'],1,False,False,False,CTPS1 or CTPS2,0.01 or 0.08,
CYOOm3,1.0611339520931864,0.08406426478847455,-0.696925302902033,,,True,Oxidative Phosphorylation,['Energy metabolism'],1,False,False,False,COX5B and COX4I1 and COX6A1 and COX6C and COX7A2L and COX7C and COX5A and COX7B and COX7A2 and COX8A and COX2 and COX3 and COX1,NA and 0.20 and -0.12 and -0.34 and 0.15 and 0.02 and 0.93 and -0.17 and -0.70 and NA and NA and NA and NA,
CYOR_u10m,1.0611339520931862,0.08406426478847455,-0.479120140165379,,,True,Oxidative Phosphorylation,['Energy metabolism'],1,False,False,False,UQCRFS1 and UQCRC1 and UQCRQ and UQCRB and UQCRC2 and UQCR11 and UQCR10 and UQCRHL and CYTB,-0.21 and 0.42 and -0.48 and 0.50 and -0.29 and 0.24 and 0.21 and -0.19 and NA,
CYSGLUexR,1.2526825363748706,0.32192809488736235,1.14603004102397,0.988813127338833,0.988813127338833,True,Extracellular Transport,['Extracellular Transport'],1,True,False,False,SLC7A10 or SLC7A5,1.15 or 0.01,
CYTDK1,1.3628949156518544,0.44360665147561484,0.519338023649486,0.2832290802148218,0.2832290802148218,True,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],1,False,False,False,UCK2 or UCK1,0.52 or -0.09,
CYTDe,1.362894915584836,0.44360665147561484,-0.210015829688146,0.7263682462269,0.7263682462269,True,Pyrimidine Catabolism,['Nucleotide metabolism'],1,False,False,False,CDA,-0.21,
CYTDt,1.362894915584836,0.44360665147561484,0.0091517029729605,0.9801479374161377,0.9801479374161377,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC29A1 or SLC29A3,0.01 or -0.04,
CYTK1,1.3628949155848775,0.44360665147561484,-0.390908328623231,0.123243909385405,0.123243909385405,True,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],1,False,False,False,CMPK1,-0.39,
CYTK12,1.3628949155847918,0.44360665147561484,-0.390908328623231,0.123243909385405,0.123243909385405,True,Nucleotide Interconversion,['Nucleotide metabolism'],1,False,False,False,CMPK1,-0.39,
CYTK1m,1.36289491558493,0.44360665147561484,0.0,,,True,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],1,False,False,False,CMPK2,NA,
ECOAH12m,0.6782733842686183,-0.5563933485243852,-0.520774327478356,0.87816130212698,0.87816130212698,True,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],1,False,False,False,HADHA and EHHADH and ECHS1,-0.07 and 0.50 and -0.52,
ECOAH1m,1000.0,3.0,-0.520774327478356,0.87816130212698,0.87816130212698,True,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,"['AA other', 'Lipid metabolism']",2,False,True,False,HADHA and ECHS1,-0.07 and -0.52,
ECOAH9m,0.8830660665413398,-0.18442457113742744,-0.520774327478356,0.87816130212698,0.87816130212698,True,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],1,False,False,False,HADHA and EHHADH and ECHS1,-0.07 and 0.50 and -0.52,
ENO,0.9984869782826069,0.0,0.854328952141642,0.0015648205996919527,0.0015648205996919527,True,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis; Methane Metabolism,"['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Energy metabolism']",2,True,False,False,ENO1 or ENO4 or ENO2,-1.42 or -1.51 or 0.85,
FAS100COA,1.3628949155848322,0.44360665147561484,0.886461834755795,0.1685845147171722,0.1685845147171722,True,Fatty Acid Biosynthesis,['Lipid metabolism'],1,True,False,False,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.89 or (0.89 and 0.41 and 0.07 and 1.25),
FAS120COA,1.3628949155848322,0.44360665147561484,0.886461834755795,0.1685845147171722,0.1685845147171722,True,Fatty Acid Biosynthesis,['Lipid metabolism'],1,True,False,False,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.89 or (0.89 and 0.41 and 0.07 and 1.25),
FAS140COA,1.3628949155848322,0.44360665147561484,0.886461834755795,0.1685845147171722,0.1685845147171722,True,Fatty Acid Biosynthesis,['Lipid metabolism'],1,True,False,False,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.89 or (0.89 and 0.41 and 0.07 and 1.25),
FAS160COA,1.3628949155848322,0.44360665147561484,0.886461834755795,0.1685845147171722,0.1685845147171722,True,Fatty Acid Biosynthesis,['Lipid metabolism'],1,True,False,False,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.89 or (0.89 and 0.41 and 0.07 and 1.25),
FAS80COA__L,1.3628949155848322,0.44360665147561484,0.886461834755795,0.0934673147190518,0.0934673147190518,True,Fatty Acid Biosynthesis,['Lipid metabolism'],1,True,False,False,FASN,0.89,
FBA,0.9988189119215957,0.0,0.671329082080404,0.27173660574915515,0.27173660574915515,True,Pentose Phosphate Pathway,['Energy metabolism'],1,False,False,False,ALDOC or ALDOB,-0.34 or 0.67,
FKYNH,1.6764396863332778,0.7484612330040356,0.255345027891588,0.694699552334186,0.694699552334186,True,Tryptophan Metabolism,['AA other'],1,False,False,False,AFMID,0.26,
FOLt2,1.062716702159997,0.08406426478847455,0.262104458648283,0.442020775285098,0.442020775285098,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC19A1,0.26,
FUM,1.362894915583166,0.44360665147561484,0.45806839316993,0.0970252262789214,0.0970252262789214,True,Citric Acid Cycle; Pyruvate Metabolism,['Energy metabolism'],1,False,False,False,FH,0.46,
FUMm,1.035161257637728,0.056583528366367514,0.45806839316993,0.0970252262789214,0.0970252262789214,True,Citric Acid Cycle; Pyruvate Metabolism,['Energy metabolism'],1,False,False,False,FH,0.46,
G6PDH2r,1.3628949156262973,0.44360665147561484,0.0198035392188292,0.37123457302980334,0.37123457302980334,True,Pentose Phosphate Pathway,['Energy metabolism'],1,False,False,False,IDH1 or PGD,0.02 or -0.47,
GALU,1.3628949156486478,0.44360665147561484,-0.182436530646064,0.751911994252142,0.751911994252142,True,Pentose And Glucuronate Interconversions,['Energy metabolism'],1,False,False,False,UGP2,-0.18,
GAPD,0.9986073882093199,0.0,0.0432981884965808,0.918530732097513,0.918530732097513,True,Glycolysis/Gluconeogenesis,['Energy metabolism'],1,False,False,False,GAPDH,0.04,
GARFT,1.3628949155834378,0.44360665147561484,0.0222150383277229,0.97344510769848,0.97344510769848,True,Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",2,False,False,False,GART or GART-B,0.02 or NA,
GCC2am,0.7759160781526191,-0.3584539709124763,0.0,,,True,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)']",1,False,False,False,AMT and _DLD and GLDC and GCSH,0.69 and NA and 2.80 and 0.32,
GCC2bim,0.7759160781526191,-0.3584539709124763,0.0,,,True,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)']",1,False,False,False,AMT and _DLD and GLDC and GCSH,0.69 and NA and 2.80 and 0.32,
GCC2cm,0.7977531174323456,-0.3219280948873623,0.0,,,True,Glycolysis/Gluconeogenesis,['Energy metabolism'],1,False,False,False,_DLD,NA,
GHMT2rm,1.438695569818605,0.5260688116675876,0.0,,,True,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)']",1,False,False,False,SHMT1,NA,
GK1,1.3628949156038497,0.44360665147561484,0.152336848586051,0.831286141257803,0.831286141257803,True,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",2,False,False,False,GUK1,0.15,
GLCt1,1.0000000000003184,0.0,1.65711134730609,0.22153410730625164,0.22153410730625164,True,Extracellular Transport,['Extracellular Transport'],1,True,False,False,SLC2A11 or SLC2A9 or SLC2A9L or SLC2A12 or SLC2A1 or SLC2A6 or SLC2A8 or SLC2A2 or SLC2A10,0.05 or 1.09 or NA or -0.05 or -0.05 or 0.92 or -0.30 or 1.66 or NA,
GLNt4,1000.0,3.0,1.39911491067747,0.6848975382930262,0.6848975382930262,True,Extracellular Transport,['Extracellular Transport'],1,True,True,True,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),-0.18 or 1.40 or -0.30 or 0.33 or (-0.03 and 0.48) or (-0.03 and -0.07),25.0
GLNtN1,0.9508656070677654,-0.07400058144377693,0.103282415776726,0.836368886753561,0.836368886753561,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC38A3,0.10,
GLUDxm,1.1504614798553667,0.2016338611696504,2.46880105940346,0.0009015303889265,0.0009015303889265,True,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Nitrogen Metabolism; Taurine And Hypotaurine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other', 'Nitrogen disposal']",3,True,False,False,GLUD2,2.47,
GLUNm,0.9722908843506682,-0.043943347587597055,2.49516911034838,2.723856656819e-05,2.723856656819e-05,True,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other']",2,True,False,False,GLS2,2.50,
GLUPRT,1.3628949155834378,0.44360665147561484,0.0,,,True,"Alanine, Aspartate And Glutamate Metabolism; Purine Metabolism; Purine Synthesis","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nitrogen disposal', 'Nucleotide metabolism']",3,False,False,False,PPAT,NA,
GLUt2m,1.0516572339511492,0.070389327891398,0.657701926668987,0.09025710803199194,0.09025710803199194,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A12 or SLC25A22 or SLC25A13,0.08 or -0.21 or 0.66,
GLUt4,0.9176074416601998,-0.12029423371771177,0.103282415776726,0.836368886753561,0.836368886753561,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC38A3,0.10,
GMPR,1.068104642074235,0.09761079662642233,0.0,,,True,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",2,False,False,False,ARMC4,NA,
GND,1.3628949156262973,0.44360665147561484,-0.472636827970146,0.229521293973787,0.229521293973787,True,Glutathione Metabolism; Pentose Phosphate Pathway,['Energy metabolism'],1,False,False,False,PGD,-0.47,
GPAM_hs,1.3628949155848378,0.44360665147561484,0.0,,,True,Triacylglycerol Synthesis,['Lipid metabolism'],1,False,False,False,AGPAT5L,NA,
GUAPRT,1.3628949155915868,0.44360665147561484,0.0984870377591129,0.12842254620414217,0.12842254620414217,True,Nucleotide Metabolism; Nucleotide Salvage Pathway; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",2,False,False,False,HPRT1 or _LOC769866 or APRT,0.10 or NA or -0.77,
H2Otm,1.0584862754438165,0.08406426478847455,0.0,,,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,AQP8,0.00,
HACD1m,1000.0,3.0,0.131789021445363,0.8734422155198124,0.8734422155198124,True,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,"['AA other', 'Lipid metabolism']",2,False,True,False,XRN1 or HADH,0.05 or 0.13,
HACD9m,0.8830660665413398,-0.18442457113742744,0.501842409666175,0.1617659442450271,0.1617659442450271,True,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],1,False,False,False,HSD17B10 or EHHADH or HADH,-0.58 or 0.50 or 0.13,
HEX1,1.0000000000003182,0.0,0.188100609854553,0.23464585258481235,0.23464585258481235,True,Glycolysis/Gluconeogenesis; Starch And Sucrose Metabolism,['Energy metabolism'],1,False,False,False,ADPGK or HK2 or HK1 or HK3 or GCK or ADPGK,-0.62 or -0.18 or 0.19 or NA or NA or -0.62,
HIBDm,0.6782733842686183,-0.5563933485243852,0.501842409666175,0.3565911066369846,0.3565911066369846,True,"Valine, Leucine And Isoleucine Biosynthesis",['BCAA metabolism (Val/Leu/Iso)'],1,False,False,False,HIBADH or EHHADH or HADH,0.29 or 0.50 or 0.13,
HIStN1,1.2548327556300891,0.32192809488736235,0.103282415776726,0.836368886753561,0.836368886753561,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC38A3,0.10,
HMGCOASim,1.362894915584843,0.44360665147561484,0.858383545241365,0.140397839903978,0.140397839903978,True,"Butanoate Metabolism; Synthesis And Degradation Of Ketone Bodies; Terpenoid Backbone Biosynthesis; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'Terpenoid Backbone Biosynthesis', 'BCAA metabolism (Val/Leu/Iso)']",4,True,False,False,HMGCS2,0.86,
HMGLm,1.362894915584843,0.44360665147561484,1.16831126618277,0.38507709882237506,0.38507709882237506,True,"Butanoate Metabolism; Cholesterol Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'BCAA metabolism (Val/Leu/Iso)']",3,True,False,False,HMGCL or HMGCLL1,1.17 or 0.14,
HUMANGEM_MAR05036,1.3628949149163858,0.44360665147561484,0.0091517029729605,0.983236630642293,0.983236630642293,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC29A1,0.01,
HUMANGEM_MAR11443,1.0532476616228117,0.070389327891398,0.0,,,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,MPC1 and MPC2,NA and 0.04,
HUMANGEM_MAR20139,1.0684130628825257,0.09761079662642233,0.436579356592749,0.0947140556419824,0.0947140556419824,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A36,0.44,
HUMANGEM_MAR20145,1.0685101227084088,0.09761079662642233,0.436579356592749,0.0947140556419824,0.0947140556419824,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A36,0.44,
HUMANGEM_MAR20147,1.3628949155848522,0.44360665147561484,0.436579356592749,0.0947140556419824,0.0947140556419824,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A36,0.44,
HUMANGEM_MAR20148,1.3628949155848522,0.44360665147561484,0.436579356592749,0.0947140556419824,0.0947140556419824,True,"Transport, Mitochondrial",['Mitochondrial transport'],1,False,False,False,SLC25A36,0.44,
ICDHxm,1.0105457570081633,0.014355292977070054,-0.292409204931787,0.825319367841576,0.825319367841576,True,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Energy metabolism']",2,False,False,False,IDH3B and IDH3A,-0.29 and 0.12,
ILETA,0.8830660665413398,-0.18442457113742744,0.0468424539259022,0.937942487185286,0.937942487185286,True,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'BCAA metabolism (Val/Leu/Iso)']",2,False,False,False,BCAT1 or IL4I1,0.05 or NA,
ILEtec,1.000000000000004,0.0,0.0197833554957469,0.987486660647554,0.987486660647554,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC43A2,0.02,
IMPC,1.3628949155834378,0.44360665147561484,-0.0827250459643057,0.934252068900686,0.934252068900686,True,Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",2,False,False,False,ATIC,-0.08,
INSTt2,1.3628949155846304,0.44360665147561484,0.0,,,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC2A13,NA,
KYN3OX,1.6764396863332778,0.7484612330040356,-0.0201138894310681,0.987486660647554,0.987486660647554,True,Tryptophan Metabolism,['AA other'],1,False,False,False,KMO,-0.02,
