Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
DUTPDPm,DUT or ITPA,0.2227,0.1506,0.6288,Nucleotide Interconversion,Nucleotide metabolism,True,False
FAS100COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.7737,0.1506,0.1956,Fatty Acid Biosynthesis,Lipid metabolism,True,False
FAS120COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.7737,0.1506,0.1956,Fatty Acid Biosynthesis,Lipid metabolism,True,False
FAS140COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.7737,0.1506,0.1956,Fatty Acid Biosynthesis,Lipid metabolism,True,False
FAS160COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.7737,0.1506,0.1956,Fatty Acid Biosynthesis,Lipid metabolism,True,False
FAS80COA__L,FASN,0.7737,0.1506,0.1212,Fatty Acid Biosynthesis,Lipid metabolism,True,False
FKYNH,AFMID,0.6543,0.1506,0.0477,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),True,False
FTHFL,MTHFD1,0.4444,0.1506,0.2727,Folate Metabolism,Folate Metabolism,True,False
FUM,FH,0.5923,0.1506,0.0099,Citric Acid Cycle; Pyruvate Metabolism,Central Energy Metabolism,True,False
GALU,UGP2,0.5107,0.1506,0.0518,Pentose And Glucuronate Interconversions,Redox & Pentose Metabolism,True,False
GARFT,GART or GART-B,0.1348,0.1506,0.7153,Folate Metabolism; Purine Metabolism; Purine Synthesis,Folate Metabolism; Nitrogen disposal; Nucleotide metabolism,True,False
GHMT2rm,SHMT1,0.7302,0.1506,0.0123,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",True,False
GK1,GUK1,0.0703,0.1506,0.8672,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
GLUPRT,PPAT,0.5299,0.1506,0.1841,"Alanine, Aspartate And Glutamate Metabolism; Purine Metabolism; Purine Synthesis","AA central (A/D/E,G/S/T); Nitrogen disposal; Nucleotide metabolism",True,False
HIStN1,SLC38A3,0.1612,0.1506,0.5518,Extracellular Transport,Extracellular Transport,True,False
HUMANGEM_MAR20145,SLC25A36,0.3457,0.1506,0.4268,"Transport, Mitochondrial",Mitochondrial transport,True,False
HUMANGEM_MAR20147,SLC25A36,0.3457,0.1506,0.4268,"Transport, Mitochondrial",Mitochondrial transport,True,False
HUMANGEM_MAR20148,SLC25A36,0.3457,0.1506,0.4268,"Transport, Mitochondrial",Mitochondrial transport,True,False
NDPK1,NME3 or NME2 or NME6 or NME7 or (NME2 and NME1) or PKLR,0.1662,0.1506,0.0724,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
NDPK4n,NT5C2 or NT5C1B or NT5C1A or LOC770392 or NT5C3B or NT5DC4 or NT5C3A,0.7975,0.1506,0.0873,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,True,False
NDPK8,NME3 or NME2 or NME6 or NME7 or (NME2 and NME1) or PKLR,0.1662,0.1506,0.0724,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
NTD2,NT5C2 or NT5C1B or NT5C1A or LOC770392 or NT5C3B or NT5DC4,0.7975,0.1506,0.0758,Nucleotide Metabolism; Pyrimidine Catabolism; Pyrimidine Metabolism,Nucleotide metabolism,True,False
NTD7,NT5C2 or NT5C1B or NT5C1A or LOC770392 or NT5C3B or NT5DC4,0.7975,0.1506,0.0758,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
NTD8,NT5C2 or NT5C1B or NT5C1A or LOC770392 or NT5C3B or NT5DC4,0.7975,0.1506,0.0758,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
PGMT,PGM1 or PGM2,0.5556,0.1506,0.0105,Glycolysis/Gluconeogenesis,Central Energy Metabolism,True,False
PHEt4,SLC38A2 or SLC7A3 or SLC6A14 or SLC7A2 or LACAAT2L or SLC38A1 or SLC7A1 or SLC38A4 or (SLC6A19 and (TMEM27 or ACE2)),0.0814,0.1506,0.5989,Extracellular Transport,Extracellular Transport,True,False
PPAm,PPA2 or LHPP or PPA1,0.6268,0.1506,0.0226,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
PRAGSr,GART or GART-B,0.1348,0.1506,0.7153,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,True,False
PRASCS,PAICS,0.3061,0.1506,0.4704,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,True,False
PSERT,PSAT1,0.8784,0.1506,0.0144,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cysteine And Methionine Metabolism; Glycine, Serine And Threonine Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",True,False
PSFLIP,ATP8A1 or ATP10A,1.1517,0.1506,0.0174,Extracellular Transport,Extracellular Transport,True,False
PYNP2r,UPP2,0.2791,0.1506,0.6748,Nucleotide Metabolism; Pyrimidine Catabolism; Pyrimidine Metabolism,Nucleotide metabolism,True,False
RE0452M,DTYMK,2.3124,0.1506,0.0011,Pyrimidine Synthesis,Nucleotide metabolism,True,False
RPI,RPIA,0.0888,0.1506,0.8054,Biosynthesis Of Amino Acids; Pentose Phosphate Pathway,Biosynthesis Of Amino Acids; Redox & Pentose Metabolism,True,False
TRPO2,TDO2 or IDO2,0.4664,0.1506,0.4576,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),True,False
TRPt,SLC36A4 or SLC16A10,1.0867,0.1506,0.0005,Extracellular Transport,Extracellular Transport,True,False
URIDK2,DTYMK,2.3124,0.1506,0.0011,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,True,False
r0226,DHFR,0.3458,0.1506,0.2,Folate Metabolism,Folate Metabolism,True,False
r0295,AMT,0.4337,0.1506,0.2355,"Alanine, Aspartate And Glutamate Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism; Glyoxylate And Dicarboxylate Metabolism","AA central (A/D/E,G/S/T); Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism",True,False
r0531,UCK2 or UCK1 or UCKL1 or LOC776992,1.0826,0.1506,0.1432,Nucleotide Interconversion,Nucleotide metabolism,True,False
r0666,GART or GART-B,0.1348,0.1506,0.7153,Purine Synthesis,Nucleotide metabolism,True,False
GUAPRT,HPRT1 or LOC769866 or APRT,0.224,0.111,0.0106,Nucleotide Metabolism; Nucleotide Salvage Pathway; Purine Metabolism,Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal,True,False
PPM,PGM1 or PGM2,0.5556,0.111,0.0105,Pentose Phosphate Pathway; Purine Metabolism,Redox & Pentose Metabolism; Nitrogen disposal,True,False
ATPS4m,NDUFS2 and NDUFA13 and NDUFB7 and NDUFS4 and NDUFC2 and NDUFB6 and NDUFB10 and NDUFAB1 and NDUFA8 and NDUFA5 and NDUFA12 and NDUFB2 and NDUFV3 and NDUFA9 and NDUFA7 and NDUFB9 and NDUFS6 and NDUFS3 and NDUFB1 and NDUFB8 and NDUFA10 and NDUFB3 and NDUFS1 and NDUFB5 and NDUFV2 and NDUFA6 and NDUFV1 and NDUFA2 and NDUFS8 and NDUFB4 and NDUFS7 and NDUFS5 and NDUFA4 and NDUFA1 and NDUFA11 and ND1 and ND3 and ND6 and ND5 and ND4 and ND4L and ND2,-0.7589,-0.1047,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
r1418c,CA13 or CA4 or CA3A or CA3B or CA8 or LOC421187,0.712,0.0841,0.4987,Nitrogen Metabolism,Nitrogen disposal,True,False
FOLt2,SLC19A1,-0.3434,-0.074,0.1713,Extracellular Transport,Extracellular Transport,True,False
CYOOm3,COX5B and COX4I1 and COX6A1 and COX6C and COX7A2L and COX7C and COX5A and COX7B and COX7A2 and COX8A and COX2 and COX3 and COX1,-0.3782,-0.0589,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
CYOR_u10m,UQCRFS1 and UQCRC1 and UQCRQ and UQCRB and UQCRC2 and UQCR11 and UQCR10 and UQCRHL and CYTB,-0.6343,-0.0589,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
NADH2_u10m,NDUFS2 and NDUFA13 and NDUFB7 and NDUFS4 and NDUFC2 and NDUFB6 and NDUFB10 and NDUFAB1 and NDUFA8 and NDUFA5 and NDUFA12 and NDUFB2 and NDUFV3 and NDUFA9 and NDUFA7 and NDUFB9 and NDUFS6 and NDUFS3 and NDUFB1 and NDUFB8 and NDUFA10 and NDUFB3 and NDUFS1 and NDUFB5 and NDUFV2 and NDUFA6 and NDUFV1 and NDUFA2 and NDUFS8 and NDUFB4 and NDUFS7 and NDUFS5 and NDUFA4 and NDUFA1 and NDUFA11 and ND1 and ND3 and ND6 and ND5 and ND4 and ND4L and ND2,-0.7589,-0.0589,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
G6PDH2r,IDH1 or PGD,0.016,0.0566,0.4796,Pentose Phosphate Pathway,Redox & Pentose Metabolism,True,False
ACONTm,ACO2 or ACO1,-0.0995,-0.0439,0.7283,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism,True,False
AKGDm,OGDH and DLD and PDHX and DLST,-0.0796,-0.0439,0.8824,2-oxocarboxylic Acid Metabolism; Citric Acid Cycle,2-oxocarboxylic Acid Metabolism; Central Energy Metabolism,True,False
NDPK1m,NME4 or NME6 or NME1,-0.1434,-0.0439,0.0973,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
2OXOADOXm,DLST,-0.0451,-0.0291,0.8824,2-oxocarboxylic Acid Metabolism; Lysine Metabolism; Tryptophan Metabolism,2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),True,False
ECOAH12m,HADHA and EHHADH and ECHS1,-0.3975,-0.0291,0.9998,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),True,False
ECOAH1m,HADHA and ECHS1,-0.3975,-0.0291,0.9998,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,Butanoate Metabolism; Lipid metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),True,False
r0385,BCKDHA and BCKDHB,-0.0666,-0.0291,0.7917,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),True,False
r0560,ACADS,-0.1879,-0.0291,0.5019,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),True,False
r0561,DBT,-0.0702,-0.0291,0.7802,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),True,False
AKGMALtm,SLC25A11 or SLC25A10,0.1198,0.0286,0.7163,"Transport, Mitochondrial",Mitochondrial transport,True,False
ATPtm,SLC25A4 or SLC25A6 or SLC25A5,0.3386,0.0286,0.0946,"Transport, Mitochondrial",Mitochondrial transport,True,False
MALtm,SLC25A10,0.1198,0.0286,0.7163,"Transport, Mitochondrial",Mitochondrial transport,True,False
PHETA1,GOT1,0.3373,0.0286,0.1131,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Phenylalanine Metabolism; Phenylalanine, Tyrosine And Tryptophan Biosynthesis",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),True,False
PHETA1m,TAT or GOT2,0.0582,0.0286,0.9168,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Phenylalanine Metabolism; Phenylalanine, Tyrosine And Tryptophan Biosynthesis",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),True,False
ECOAH9m,HADHA and EHHADH and ECHS1,-0.3975,-0.0145,0.9998,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),True,False
PGM,BPGM or PGAM1,-0.6342,-0.0145,0.006,"Biosynthesis Of Amino Acids; Glycine, Serine And Threonine Metabolism; Glycolysis/Gluconeogenesis; Methane Metabolism","Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Central Energy Metabolism; Methane Metabolism",True,False
TPI,TPI1,-0.5183,-0.0145,0.059,Glycolysis/Gluconeogenesis,Central Energy Metabolism,True,False
r0603,ACADS and LOC423987,-0.1879,-0.0145,,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),True,False
r0604,DBT,-0.0702,-0.0145,0.7802,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),True,False
r0670,BCKDHA and BCKDHB,-0.0666,-0.0145,0.7917,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),True,False
ALATA__L,GPT2,1.4551,0.0144,0.002,"2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids",True,False
GLUt2m,SLC25A12 or SLC25A22 or SLC25A13,0.4038,0.0144,0.2463,"Transport, Mitochondrial",Mitochondrial transport,True,False
ARGLYSex,SLC7A6,-0.1254,3.3978,0.7446,Extracellular Transport,Extracellular Transport,False,False
2HBt2,SLC16A3 or SLC16A7 or LOC416086 or SLC16A1,0.5163,-3.0,0.4125,Extracellular Transport,Extracellular Transport,False,True
3DSPHR,KDSR,0.4582,-3.0,0.0562,Sphingolipid Metabolism,Lipid metabolism,False,False
C160CPT1,CPT1A,-0.0558,3.0,0.905,Fatty Acid Degradation; Fatty Acid Metabolism,Lipid metabolism,False,False
G6PDH1rer,H6PD,-0.1241,3.0,0.7643,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
P5CDm,ALDH4A1,0.4451,-3.0,0.0129,"Alanine, Aspartate And Glutamate Metabolism","AA central (A/D/E,G/S/T)",False,False
PGI,GPI,-0.0753,3.0,0.7318,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
PGLer,H6PD,-0.1241,3.0,0.7643,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
SERPTr,SPTLC1 and SPTLC2 and SPTLC3,-0.1287,3.0,0.5914,Sphingolipid Metabolism,Lipid metabolism,False,False
SMSr,LOC422929,0.0,3.0,,Sphingolipid Metabolism,Lipid metabolism,False,False
r0434,CPT1A and CPT2,-0.0558,3.0,0.905,Fatty Acid Degradation; Fatty Acid Metabolism,Lipid metabolism,False,False
PCm,PC,0.0,-1.0,,Biosynthesis Of Amino Acids; Citric Acid Cycle; Pyruvate Metabolism,Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
r0552,ALDH7A1,0.1784,-0.5995,0.4936,"Alanine, Aspartate And Glutamate Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T); Folate Metabolism",False,False
r0553,ALDH7A1,0.1784,-0.5995,0.4936,"Alanine, Aspartate And Glutamate Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T); Folate Metabolism",False,False
GLUt4,SLC38A3,0.1612,-0.3219,0.5518,Extracellular Transport,Extracellular Transport,False,False
ACACt2,SLC16A1 or SLC16A7 or LOC416086,0.3979,-0.152,0.3994,Extracellular Transport; Fatty Acid Degradation; Fatty Acid Elongation; Fatty Acid Metabolism,Extracellular Transport; Lipid metabolism; Fatty Acid Elongation,False,False
AACOAT,AACS,-0.2059,0.1506,0.4814,"Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
ACACT1r,ACAT2,-0.3989,0.1506,0.2175,"Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),False,False
ACCOAC,ACACA and ACACB,-0.2153,0.1506,0.605,Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism,False,False
ADSL1,ADSL,-0.2101,0.1506,0.6256,"Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal",False,False
ADSL2,ADSL,-0.2101,0.1506,0.6256,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
AICART,ATIC,-0.5286,0.1506,0.1096,Folate Metabolism; Purine Metabolism; Purine Synthesis,Folate Metabolism; Nitrogen disposal; Nucleotide metabolism,False,False
ASPCTr,CAD,-1.1619,0.1506,0.0056,"Alanine, Aspartate And Glutamate Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis","AA central (A/D/E,G/S/T); Nucleotide metabolism",False,False
CEPTC,CEPT1 or CHPT1,-0.0557,0.1506,0.102,Glycerophospholipid Metabolism,Lipid metabolism,False,False
CHOLESTle,LIPA,-0.2112,0.1506,0.5487,Extracellular Transport,Extracellular Transport,False,False
CHOLK,CHKA,-0.5216,0.1506,0.1233,Glycerophospholipid Metabolism,Lipid metabolism,False,False
CYSt4,SLC6A14 or SLC38A2 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),-0.1995,0.1506,0.5806,Extracellular Transport,Extracellular Transport,False,False
CYTDe,CDA,-0.0683,0.1506,0.8585,Pyrimidine Catabolism,Nucleotide metabolism,False,False
CYTK1,CMPK1,-0.4578,0.1506,0.0437,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
CYTK12,CMPK1,-0.4578,0.1506,0.0437,Nucleotide Interconversion,Nucleotide metabolism,False,False
CYTK1m,CMPK2,-0.9745,0.1506,0.08,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
DHORD9,DHODH,-0.3066,0.1506,0.6536,"Transport, Mitochondrial",Mitochondrial transport,False,False
DHORTS,CAD,-1.1619,0.1506,0.0056,Pyrimidine Synthesis,Nucleotide metabolism,False,False
GND,PGD,-0.497,0.1506,0.3185,Glutathione Metabolism; Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
GPAM_hs,AGPAT5L,0.0,0.1506,,Triacylglycerol Synthesis,Lipid metabolism,False,False
IMPC,ATIC,-0.5286,0.1506,0.1096,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
INSTt4_2,SLC5A11,-0.3485,0.1506,0.5827,Extracellular Transport,Extracellular Transport,False,False
KYN3OX,KMO,-0.0351,0.1506,0.9395,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),False,False
LPASE,PLA2G4A,-0.9036,0.1506,0.1973,Glycerophospholipid Metabolism,Lipid metabolism,False,False
METt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),-0.1633,0.1506,0.5265,Extracellular Transport,Extracellular Transport,False,False
NDPK10,NME3 or NME2 or NME6 or NME7 or (NME2 and NME1),-0.4414,0.1506,0.0612,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
NDPK10n,NME2 and NME1,-0.5702,0.1506,0.6497,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
